IATA,STATION
'BGM',USW00004725
'PSE',RQC00667292
'INL',USW00014918
'DLG',USR0000AMOT
'MSY',USW00012916
'PPG',AQW00061705
'GEG',USW00024157
'DRT',USW00022010
'SNA',USW00093184
'BUR',USW00023152
'GRB',USW00014898
'GTF',USW00024143
'IDA',USW00024145
'GRR',USW00094860
'JLN',USW00013987
'PSG',USW00025329
'EUG',USW00024221
'GSO',USW00013723
'PVD',USW00014765
'MYR',NOE00133446
'OAK',USW00023230
'MSN',USW00014837
'FAR',USW00014914
'MQT',USW00094850
'FSM',USW00013964
'COD',USC00481840
'BTM',USW00024135
'SCC',USW00027406
'ESC',USW00014824
'DCA',USW00013743
'RFD',USW00094822
'CID',USW00014990
'MLU',USW00013942
'GTR',USW00093862
'LWS',USW00024149
'WRG',USC00509919
'HLN',USW00024144
'CIU',USW00014847
'LEX',USW00093820
'RDM',USW00024230
'ORF',USW00013737
'SCE',US1PACN0017
'EVV',USW00093817
'KTN',USW00025325
'CRW',USW00013866
'CWA',USW00004864
'SAV',USW00003822
'GCK',USW00023064
'CDV',USW00026410
'TRI',USW00013877
'CMH',USW00014821
'MOD',USW00023258
'SPN',CQC00914874
'CAK',USW00014895
'ADK',USW00025704
'TYR',USW00013972
'CHO',USW00093736
'MOB',USW00013894
'PNS',USW00013899
'DIK',USW00024012
'MCN',USW00003813
'CEC',USW00024286
'LIH',USW00022536
'IAH',USW00012960
'HNL',USW00022521
'ERI',USW00014860
'SHV',USW00013957
'GST',USW00025322
'CVG',USW00093814
'SJC',USW00023293
'LGA',USW00014732
'BUF',USW00014733
'TLH',USW00093805
'CDC',USW00093129
'ACT',USW00013959
'HPN',USW00094745
'RDD',USW00024257
'AUS',USW00013904
'MLI',USW00014923
'GCC',USW00094023
'SJU',RQW00011641
'ATW',USW00004825
'DHN',USW00013839
'AVL',USW00003812
'LGB',USW00023129
'GJT',USW00023066
'GFK',USW00014916
'BFL',USW00023155
'SRQ',USW00012871
'RNO',USW00023185
'SBN',USW00014848
'EYW',USW00012836
'BJI',USC00210643
'TTN',USW00014792
'RST',USW00014925
'JAC',USW00024166
'CHS',USW00013880
'RSW',USW00012894
'TUL',USW00013968
'HRL',USW00012904
'IPL',USW00003144
'AMA',USW00023047
'ISP',USW00004781
'BOS',USW00014739
'MLB',USW00012838
'MAF',USW00023023
'EWR',USW00014734
