,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,_c109
0,2013,4,12,16,1,2013-12-16,DL,19790,DL,N552NW,1302,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12,Florida,33,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1810,1810,0.0,0.0,0.0,0,1800-1859,16.0,1826,1950,33.0,2000,2023,23.0,23.0,1.0,1,2000-2059,0.0,,0.0,110.0,133.0,84.0,1.0,515.0,3,0.0,0.0,23.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2013,4,12,16,1,2013-12-16,DL,19790,DL,N907DL,1304,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,10599,1059904,30599,BHM,"Birmingham, AL",AL,1,Alabama,51,1639,1636,-3.0,0.0,0.0,-1,1600-1659,23.0,1659,1625,5.0,1633,1630,-3.0,0.0,0.0,-1,1600-1659,0.0,,0.0,54.0,54.0,26.0,1.0,134.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2013,4,12,16,1,2013-12-16,DL,19790,DL,N924DL,1305,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13495,1349503,33495,MSY,"New Orleans, LA",LA,22,Louisiana,72,1751,1748,-3.0,0.0,0.0,-1,1700-1759,23.0,1811,1818,5.0,1834,1823,-11.0,0.0,0.0,-1,1800-1859,0.0,,0.0,103.0,95.0,67.0,1.0,425.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2013,4,12,16,1,2013-12-16,DL,19790,DL,N924DL,1305,13495,1349503,33495,MSY,"New Orleans, LA",LA,22,Louisiana,72,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1915,1911,-4.0,0.0,0.0,-1,1900-1959,11.0,1922,2121,6.0,2136,2127,-9.0,0.0,0.0,-1,2100-2159,0.0,,0.0,81.0,76.0,59.0,1.0,425.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2013,4,12,16,1,2013-12-16,DL,19790,DL,N908DA,1307,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,14524,1452401,34524,RIC,"Richmond, VA",VA,51,Virginia,38,1545,1545,0.0,0.0,0.0,0,1500-1559,25.0,1610,1713,6.0,1715,1719,4.0,4.0,0.0,0,1700-1759,0.0,,0.0,90.0,94.0,63.0,1.0,481.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2013,4,12,16,1,2013-12-16,DL,19790,DL,N908DA,1307,14524,1452401,34524,RIC,"Richmond, VA",VA,51,Virginia,38,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1759,1757,-2.0,0.0,0.0,-1,1700-1759,13.0,1810,1929,5.0,1948,1934,-14.0,0.0,0.0,-1,1900-1959,0.0,,0.0,109.0,97.0,79.0,1.0,481.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2013,4,12,16,1,2013-12-16,DL,19790,DL,N939DN,1308,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,815,813,-2.0,0.0,0.0,-1,0800-0859,17.0,830,1108,12.0,1118,1120,2.0,2.0,0.0,0,1100-1159,0.0,,0.0,123.0,127.0,98.0,1.0,813.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2013,4,12,16,1,2013-12-16,DL,19790,DL,N911DA,1309,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,1857,1931,34.0,34.0,1.0,2,1800-1859,17.0,1948,2045,5.0,2036,2050,14.0,14.0,0.0,0,2000-2059,0.0,,0.0,159.0,139.0,117.0,1.0,813.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2013,4,12,16,1,2013-12-16,DL,19790,DL,N383DN,1312,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22,830,824,-6.0,0.0,0.0,-1,0800-0859,12.0,836,1339,7.0,1409,1346,-23.0,0.0,0.0,-2,1400-1459,0.0,,0.0,219.0,202.0,183.0,1.0,1626.0,7,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2013,4,12,16,1,2013-12-16,DL,19790,DL,N376DA,1314,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,11066,1106603,31066,CMH,"Columbus, OH",OH,39,Ohio,44,1655,1706,11.0,11.0,0.0,0,1600-1659,16.0,1722,1829,3.0,1830,1832,2.0,2.0,0.0,0,1800-1859,0.0,,0.0,95.0,86.0,67.0,1.0,447.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
