FlightDate,Diverted,Cancelled
2013-06-12,123.0,597.0
2013-06-13,97.0,719.0
2013-06-05,56.0,203.0
2013-06-24,64.0,656.0
2013-06-10,60.0,363.0
2013-06-19,21.0,166.0
2013-06-06,74.0,231.0
2013-06-15,15.0,110.0
2013-06-01,49.0,135.0
2013-06-26,94.0,648.0
2013-06-29,34.0,347.0
2013-06-02,65.0,398.0
2013-06-18,79.0,540.0
2013-06-25,54.0,454.0
2013-06-30,71.0,350.0
2013-06-22,62.0,101.0
2013-06-20,26.0,93.0
2013-06-03,30.0,209.0
2013-06-23,85.0,229.0
2013-06-16,26.0,106.0
2013-06-14,73.0,227.0
2013-06-04,17.0,96.0
2013-06-17,98.0,402.0
2013-06-11,33.0,176.0
2013-06-27,122.0,568.0
2013-06-09,60.0,208.0
2013-06-21,42.0,229.0
2013-06-07,112.0,270.0
2013-06-08,14.0,107.0
2013-06-28,124.0,914.0
2013-07-27,19.0,147.0
2013-07-07,88.0,609.0
2013-07-12,30.0,332.0
2013-07-06,113.0,488.0
2013-07-24,21.0,219.0
2013-07-26,62.0,147.0
2013-07-11,85.0,670.0
2013-07-30,33.0,220.0
2013-07-02,26.0,131.0
2013-07-03,35.0,148.0
2013-07-10,66.0,980.0
2013-07-15,47.0,176.0
2013-07-14,34.0,170.0
2013-07-08,52.0,456.0
2013-07-23,58.0,466.0
2013-07-05,17.0,102.0
2013-07-01,41.0,364.0
2013-07-22,67.0,538.0
2013-07-16,93.0,251.0
2013-07-19,98.0,302.0
2013-07-31,28.0,101.0
2013-07-04,23.0,93.0
2013-07-28,54.0,260.0
2013-07-21,90.0,281.0
2013-07-09,42.0,510.0
2013-07-17,54.0,237.0
2013-07-20,145.0,260.0
2013-07-25,36.0,163.0
2013-07-29,50.0,379.0
2013-07-13,107.0,163.0
2013-07-18,53.0,236.0
2013-05-28,83.0,199.0
2013-05-27,31.0,45.0
2013-05-03,21.0,386.0
2013-05-08,66.0,252.0
2013-05-23,76.0,685.0
2013-05-18,33.0,54.0
2013-05-31,63.0,291.0
2013-05-30,50.0,341.0
2013-05-01,17.0,100.0
2013-05-11,34.0,134.0
2013-05-24,87.0,214.0
2013-05-29,107.0,233.0
2013-05-21,77.0,534.0
2013-05-06,11.0,110.0
2013-05-22,112.0,382.0
2013-05-14,10.0,67.0
2013-05-16,22.0,152.0
2013-05-15,91.0,206.0
2013-05-10,50.0,307.0
2013-05-04,4.0,93.0
2013-05-09,24.0,234.0
2013-05-02,75.0,219.0
2013-05-26,15.0,29.0
2013-05-20,104.0,259.0
2013-05-25,29.0,75.0
2013-05-07,13.0,96.0
2013-05-17,17.0,65.0
2013-05-05,22.0,141.0
2013-05-19,48.0,161.0
2013-05-13,14.0,79.0
2013-05-12,14.0,95.0
2013-04-12,22.0,368.0
2013-04-20,19.0,120.0
2013-04-14,29.0,192.0
2013-04-06,13.0,26.0
2013-04-02,29.0,81.0
2013-04-04,27.0,130.0
2013-04-23,19.0,195.0
2013-04-15,26.0,151.0
2013-04-11,29.0,710.0
2013-04-17,107.0,1127.0
2013-04-08,43.0,258.0
2013-04-25,15.0,114.0
2013-04-09,24.0,552.0
2013-04-01,24.0,124.0
2013-04-19,54.0,495.0
2013-04-21,22.0,132.0
2013-04-18,63.0,1387.0
2013-04-26,19.0,48.0
2013-04-24,37.0,187.0
2013-04-16,27.0,1044.0
2013-04-27,42.0,58.0
2013-04-22,30.0,265.0
2013-04-07,24.0,51.0
2013-04-29,27.0,96.0
2013-04-30,39.0,72.0
2013-04-13,22.0,73.0
2013-04-28,22.0,64.0
2013-04-05,8.0,66.0
2013-04-03,16.0,80.0
2013-04-10,131.0,1193.0
2013-01-16,26.0,339.0
2013-01-10,35.0,118.0
2013-01-09,27.0,141.0
2013-01-17,31.0,242.0
2013-01-15,29.0,555.0
2013-01-11,52.0,279.0
2013-01-22,12.0,138.0
2013-01-12,49.0,150.0
2013-01-25,37.0,353.0
2013-01-28,54.0,556.0
2013-01-19,23.0,52.0
2013-01-23,21.0,201.0
2013-01-26,49.0,173.0
2013-01-04,19.0,136.0
2013-01-13,54.0,280.0
2013-01-24,70.0,335.0
2013-01-21,27.0,162.0
2013-01-05,18.0,52.0
2013-01-06,14.0,80.0
2013-01-08,28.0,78.0
2013-01-30,79.0,672.0
2013-01-14,35.0,189.0
2013-01-31,23.0,373.0
2013-01-18,30.0,114.0
2013-01-03,19.0,123.0
2013-01-29,80.0,504.0
2013-01-07,17.0,87.0
2013-01-20,57.0,226.0
2013-01-27,59.0,592.0
2013-01-01,30.0,116.0
2013-01-02,27.0,145.0
2013-03-31,40.0,126.0
2013-03-19,20.0,434.0
2013-03-06,25.0,1383.0
2013-03-12,37.0,233.0
2013-03-24,85.0,303.0
2013-03-04,23.0,270.0
2013-03-09,64.0,698.0
2013-03-08,48.0,573.0
2013-03-14,22.0,111.0
2013-03-21,28.0,100.0
2013-03-23,45.0,287.0
2013-03-25,26.0,371.0
2013-03-16,27.0,64.0
2013-03-05,20.0,1370.0
2013-03-01,36.0,258.0
2013-03-27,11.0,47.0
2013-03-26,14.0,91.0
2013-03-07,14.0,326.0
2013-03-11,29.0,159.0
2013-03-20,15.0,123.0
2013-03-10,30.0,196.0
2013-03-02,17.0,116.0
2013-03-22,19.0,92.0
2013-03-15,29.0,115.0
2013-03-03,14.0,115.0
2013-03-30,11.0,66.0
2013-03-18,128.0,493.0
2013-03-13,44.0,168.0
2013-03-29,2.0,72.0
2013-03-17,25.0,106.0
2013-03-28,14.0,67.0
2013-02-03,17.0,152.0
2013-02-13,21.0,131.0
2013-02-12,19.0,112.0
2013-02-28,17.0,112.0
2013-02-10,34.0,490.0
2013-02-26,109.0,1277.0
2013-02-07,28.0,331.0
2013-02-06,22.0,112.0
2013-02-17,22.0,123.0
2013-02-22,25.0,631.0
2013-02-16,17.0,80.0
2013-02-25,40.0,509.0
2013-02-19,16.0,228.0
2013-02-23,53.0,114.0
2013-02-18,31.0,95.0
2013-02-04,43.0,314.0
2013-02-21,60.0,953.0
2013-02-20,38.0,276.0
2013-02-27,25.0,370.0
2013-02-24,34.0,658.0
2013-02-09,15.0,1350.0
2013-02-08,21.0,1914.0
2013-02-14,15.0,76.0
2013-02-02,33.0,128.0
2013-02-01,17.0,162.0
2013-02-11,44.0,458.0
2013-02-15,12.0,46.0
2013-02-05,29.0,127.0
2013-10-25,8.0,70.0
2013-10-06,44.0,158.0
2013-10-04,21.0,151.0
2013-10-10,33.0,115.0
2013-10-02,12.0,75.0
2013-10-13,18.0,46.0
2013-10-15,17.0,106.0
2013-10-01,19.0,83.0
2013-10-09,15.0,101.0
2013-10-17,24.0,73.0
2013-10-19,21.0,48.0
2013-10-30,28.0,117.0
2013-10-26,52.0,53.0
2013-10-24,26.0,136.0
2013-10-20,25.0,61.0
2013-10-28,20.0,102.0
2013-10-11,10.0,182.0
2013-10-29,20.0,114.0
2013-10-05,64.0,102.0
2013-10-23,22.0,92.0
2013-10-08,6.0,101.0
2013-10-07,42.0,261.0
2013-10-18,22.0,61.0
2013-10-12,27.0,28.0
2013-10-16,12.0,72.0
2013-10-22,12.0,106.0
2013-10-14,45.0,84.0
2013-10-21,23.0,107.0
2013-10-27,20.0,115.0
2013-10-31,19.0,116.0
2013-10-03,33.0,227.0
2013-11-07,16.0,114.0
2013-11-26,30.0,128.0
2013-11-01,76.0,456.0
2013-11-23,16.0,152.0
2013-11-04,13.0,99.0
2013-11-30,38.0,97.0
2013-11-17,111.0,613.0
2013-11-08,48.0,126.0
2013-11-16,22.0,58.0
2013-11-20,33.0,97.0
2013-11-24,18.0,747.0
2013-11-03,19.0,61.0
2013-11-18,10.0,155.0
2013-11-06,17.0,86.0
2013-11-25,25.0,406.0
2013-11-14,42.0,122.0
2013-11-10,16.0,62.0
2013-11-05,11.0,79.0
2013-11-28,20.0,27.0
2013-11-13,24.0,90.0
2013-11-29,8.0,16.0
2013-11-15,13.0,53.0
2013-11-09,10.0,40.0
2013-11-19,14.0,108.0
2013-11-27,11.0,160.0
2013-11-21,101.0,222.0
2013-11-12,18.0,114.0
2013-11-11,13.0,142.0
2013-11-02,24.0,100.0
2013-11-22,38.0,352.0
2013-12-18,19.0,83.0
2013-12-30,16.0,208.0
2013-12-01,41.0,109.0
2013-12-31,43.0,192.0
2013-12-17,16.0,465.0
2013-12-12,21.0,115.0
2013-12-14,34.0,689.0
2013-12-09,38.0,1408.0
2013-12-13,18.0,137.0
2013-12-27,22.0,111.0
2013-12-02,42.0,142.0
2013-12-06,26.0,1965.0
2013-12-24,16.0,119.0
2013-12-19,65.0,386.0
2013-12-29,31.0,326.0
2013-12-25,9.0,106.0
2013-12-15,31.0,314.0
2013-12-08,97.0,2102.0
2013-12-04,35.0,317.0
2013-12-28,19.0,114.0
2013-12-23,26.0,255.0
2013-12-20,43.0,253.0
2013-12-07,40.0,1108.0
2013-12-21,111.0,467.0
2013-12-26,25.0,173.0
2013-12-11,23.0,195.0
2013-12-03,47.0,196.0
2013-12-05,103.0,957.0
2013-12-16,29.0,260.0
2013-12-10,39.0,1050.0
2013-12-22,31.0,425.0
2013-09-07,16.0,26.0
2013-09-19,118.0,628.0
2013-09-23,16.0,73.0
2013-09-09,34.0,96.0
2013-09-30,5.0,120.0
2013-09-24,18.0,80.0
2013-09-25,18.0,125.0
2013-09-28,70.0,113.0
2013-09-21,6.0,61.0
2013-09-03,18.0,97.0
2013-09-06,34.0,62.0
2013-09-17,40.0,95.0
2013-09-01,33.0,30.0
2013-09-16,20.0,105.0
2013-09-08,15.0,58.0
2013-09-29,19.0,88.0
2013-09-18,51.0,113.0
2013-09-10,52.0,80.0
2013-09-05,36.0,104.0
2013-09-27,13.0,89.0
2013-09-22,34.0,78.0
2013-09-02,78.0,206.0
2013-09-14,48.0,63.0
2013-09-11,32.0,201.0
2013-09-20,43.0,360.0
2013-09-04,45.0,93.0
2013-09-26,11.0,60.0
2013-09-15,16.0,92.0
2013-09-13,15.0,222.0
2013-09-12,100.0,794.0
2013-08-13,127.0,497.0
2013-08-05,12.0,164.0
2013-08-16,54.0,146.0
2013-08-12,47.0,210.0
2013-08-25,11.0,97.0
2013-08-09,98.0,286.0
2013-08-15,29.0,131.0
2013-08-20,16.0,105.0
2013-08-23,12.0,139.0
2013-08-22,78.0,339.0
2013-08-04,24.0,169.0
2013-08-21,30.0,105.0
2013-08-14,86.0,227.0
2013-08-31,31.0,90.0
2013-08-03,62.0,209.0
2013-08-18,28.0,141.0
2013-08-08,77.0,264.0
2013-08-02,46.0,335.0
2013-08-28,59.0,226.0
2013-08-30,69.0,210.0
2013-08-10,34.0,114.0
2013-08-07,24.0,180.0
2013-08-29,30.0,115.0
2013-08-06,37.0,165.0
2013-08-19,30.0,146.0
2013-08-17,13.0,89.0
2013-08-26,48.0,103.0
2013-08-24,17.0,50.0
2013-08-27,18.0,104.0
2013-08-11,25.0,112.0
2013-08-01,37.0,269.0
