FlightDate,delay_count,count,delay_sum
2013-10-25,18115,18115,13916.0
2013-10-06,17178,17178,59980.0
2013-10-04,18025,18025,113882.0
2013-10-10,18151,18151,99594.0
2013-10-02,17562,17562,-66406.0
2013-10-13,17033,17033,395.0
2013-10-15,17229,17229,57425.0
2013-10-01,17017,17017,-84971.0
2013-10-09,17585,17585,-38464.0
2013-10-17,18191,18191,45214.0
2013-10-19,13700,13700,-21362.0
2013-10-30,17576,17576,45535.0
2013-10-26,13673,13673,-29614.0
2013-10-24,18123,18123,64107.0
2013-10-20,17294,17294,-8966.0
2013-10-28,17990,17990,44891.0
2013-10-11,17974,17974,134965.0
2013-10-29,17255,17255,-37747.0
2013-10-05,13603,13603,34760.0
2013-10-23,17570,17570,-17462.0
2013-10-08,17249,17249,-51131.0
2013-10-07,17909,17909,177383.0
2013-10-18,18144,18144,18259.0
2013-10-12,13497,13497,-5693.0
2013-10-16,17657,17657,-28146.0
2013-10-22,17230,17230,-34544.0
2013-10-14,18070,18070,84097.0
2013-10-21,18066,18066,13679.0
2013-10-27,17198,17198,54233.0
2013-10-31,16382,16382,67535.0
2013-10-03,18037,18037,124407.0
2013-09-07,13536,13536,-72742.0
2013-09-19,17470,17470,341477.0
2013-09-23,17957,17957,-23142.0
2013-09-09,17939,17939,11765.0
2013-09-30,17924,17924,-19721.0
2013-09-24,16939,16939,-48589.0
2013-09-25,17424,17424,-29564.0
2013-09-28,13302,13302,12213.0
2013-09-21,13431,13431,15548.0
2013-09-03,17590,17590,-13098.0
2013-09-06,18056,18056,-31028.0
2013-09-17,16925,16925,-5421.0
2013-09-01,12967,12967,-23006.0
2013-09-16,17948,17948,6420.0
2013-09-08,17216,17216,-32827.0
2013-09-29,17199,17199,5709.0
2013-09-18,17388,17388,22033.0
2013-09-10,16927,16927,-13140.0
2013-09-05,17991,17991,-49613.0
2013-09-27,18080,18080,2529.0
2013-09-22,17129,17129,32389.0
2013-09-02,16671,16671,156566.0
2013-09-14,13390,13390,-11213.0
2013-09-11,17106,17106,49641.0
2013-09-20,17777,17777,207920.0
2013-09-04,17436,17436,-44275.0
2013-09-26,18159,18159,-7270.0
2013-09-15,17149,17149,38846.0
2013-09-13,17971,17971,145386.0
2013-09-12,17324,17324,312059.0
2013-11-07,18028,18028,39355.0
2013-11-26,17620,17620,183653.0
2013-11-01,17647,17647,71066.0
2013-11-23,14110,14110,85444.0
2013-11-04,17893,17893,-7767.0
2013-11-30,16673,16673,-8449.0
2013-11-17,16207,16207,253719.0
2013-11-08,17916,17916,22712.0
2013-11-16,13880,13880,-24589.0
2013-11-20,17481,17481,-5042.0
2013-11-24,15576,15576,30635.0
2013-11-03,16917,16917,-61444.0
2013-11-18,17804,17804,13654.0
2013-11-06,17499,17499,-21680.0
2013-11-25,16204,16204,69066.0
2013-11-14,17987,17987,-29240.0
2013-11-10,16841,16841,-59521.0
2013-11-05,17137,17137,-46762.0
2013-11-28,10896,10896,-67117.0
2013-11-13,17505,17505,-67128.0
2013-11-29,12859,12859,-71681.0
2013-11-15,18015,18015,-25406.0
2013-11-09,13886,13886,-69896.0
2013-11-19,17154,17154,-71926.0
2013-11-27,18275,18275,116396.0
2013-11-21,17803,17803,200885.0
2013-11-12,17107,17107,9149.0
2013-11-11,17792,17792,29006.0
2013-11-02,13660,13660,-45112.0
2013-11-22,18006,18006,308828.0
2013-08-13,17870,17870,223073.0
2013-08-05,19078,19078,60328.0
2013-08-16,18799,18799,72528.0
2013-08-12,18765,18765,227434.0
2013-08-25,17562,17562,6864.0
2013-08-09,18910,18910,248712.0
2013-08-15,18818,18818,81552.0
2013-08-20,17990,17990,6532.0
2013-08-23,18594,18594,52577.0
2013-08-22,18298,18298,294010.0
2013-08-04,18276,18276,88611.0
2013-08-21,18210,18210,52675.0
2013-08-14,18281,18281,156158.0
2013-08-31,12944,12944,3614.0
2013-08-03,16188,16188,118692.0
2013-08-18,17878,17878,127603.0
2013-08-08,18890,18890,295287.0
2013-08-02,18922,18922,189052.0
2013-08-28,17713,17713,88847.0
2013-08-30,18216,18216,86669.0
2013-08-10,16257,16257,82413.0
2013-08-07,18948,18948,262621.0
2013-08-29,18397,18397,64266.0
2013-08-06,18828,18828,85028.0
2013-08-19,18718,18718,41835.0
2013-08-17,15515,15515,-1750.0
2013-08-26,18368,18368,1655.0
2013-08-24,14990,14990,-29840.0
2013-08-27,17592,17592,-48167.0
2013-08-11,18104,18104,75358.0
2013-08-01,18951,18951,239947.0
2013-01-16,16332,16332,113769.0
2013-01-10,17259,17259,-28372.0
2013-01-09,16564,16564,-25985.0
2013-01-17,17109,17109,1810.0
2013-01-15,15685,15685,-24417.0
2013-01-11,17114,17114,41166.0
2013-01-22,16101,16101,-6100.0
2013-01-12,13121,13121,-24027.0
2013-01-25,17000,17000,226359.0
2013-01-28,16602,16602,91017.0
2013-01-19,13105,13105,-80276.0
2013-01-23,16461,16461,19502.0
2013-01-26,13022,13022,1669.0
2013-01-04,17495,17495,-22065.0
2013-01-13,15771,15771,113809.0
2013-01-24,16972,16972,109024.0
2013-01-21,16869,16869,35818.0
2013-01-05,13863,13863,10706.0
2013-01-06,16322,16322,22575.0
2013-01-08,16233,16233,-10138.0
2013-01-30,15932,15932,307219.0
2013-01-14,17011,17011,43263.0
2013-01-31,16998,16998,154093.0
2013-01-18,17261,17261,-12099.0
2013-01-03,17588,17588,81403.0
2013-01-29,15675,15675,90712.0
2013-01-07,17267,17267,-61729.0
2013-01-20,14909,14909,19573.0
2013-01-27,15432,15432,90097.0
2013-01-01,15060,15060,104067.0
2013-01-02,17894,17894,106127.0
2013-05-28,18206,18206,85060.0
2013-05-27,17439,17439,36166.0
2013-05-03,18240,18240,217520.0
2013-05-08,17832,17832,155061.0
2013-05-23,17948,17948,363849.0
2013-05-18,14499,14499,-33705.0
2013-05-31,18363,18363,105100.0
2013-05-30,18273,18273,186440.0
2013-05-01,18023,18023,20052.0
2013-05-11,14153,14153,58524.0
2013-05-24,18456,18456,219158.0
2013-05-29,17904,17904,84065.0
2013-05-21,17500,17500,297185.0
2013-05-06,18433,18433,3305.0
2013-05-22,17790,17790,290040.0
2013-05-14,17959,17959,-74541.0
2013-05-16,18511,18511,100312.0
2013-05-15,17882,17882,25569.0
2013-05-10,18267,18267,258527.0
2013-05-04,14428,14428,-4892.0
2013-05-09,18323,18323,153119.0
2013-05-02,18303,18303,145240.0
2013-05-26,13927,13927,-68845.0
2013-05-20,18247,18247,185231.0
2013-05-25,13844,13844,26989.0
2013-05-07,17898,17898,-61602.0
2013-05-17,18595,18595,28917.0
2013-05-05,17458,17458,51486.0
2013-05-19,17439,17439,251772.0
2013-05-13,18480,18480,-21599.0
